time,temperature_2m (°C),cloud_cover (%),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),shortwave_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2019-01-01T00:00,4.7,0,47,1014.3,11.4,0,0,0
2019-01-01T01:00,3.4,0,52,1014.4,12.6,0,0,0
2019-01-01T02:00,3.4,0,50,1015.2,15.1,0,0,0
2019-01-01T03:00,2.5,0,53,1016.2,11.9,0,0,0
2019-01-01T04:00,2.5,0,51,1016.7,11.7,0,0,0
2019-01-01T05:00,2,0,52,1017.1,9.8,0,0,0
2019-01-01T06:00,1.4,0,52,1017.8,7,0,0,0
2019-01-01T07:00,1.2,0,44,1018.7,1.6,0,0,0
2019-01-01T08:00,1.8,0,44,1019.5,2.7,32,12,239.4
2019-01-01T09:00,5.6,8,45,1020,3.6,174,37,781.2
2019-01-01T10:00,9.7,13,36,1020.2,0.8,337,54,893.1
2019-01-01T11:00,9.6,8,30,1019.8,3.7,461,63,946.2
2019-01-01T12:00,11.1,81,28,1020,10.2,530,71,957.1
2019-01-01T13:00,10.6,1,26,1019.3,8.4,536,92,906.7
2019-01-01T14:00,11,0,26,1018.5,6.2,453,187,590.7
2019-01-01T15:00,11.5,0,25,1018.4,6.2,355,113,664.6
2019-01-01T16:00,11.8,0,23,1018.4,3.4,209,60,628.7
2019-01-01T17:00,9.5,0,27,1018.3,1.9,0,0,0
2019-01-01T18:00,7.3,0,43,1018.8,5.4,0,0,0
2019-01-01T19:00,6.6,0,46,1019.1,8.7,0,0,0
2019-01-01T20:00,5.5,0,46,1019.2,7.7,0,0,0
2019-01-01T21:00,4.2,0,46,1019.2,5.1,0,0,0
2019-01-01T22:00,3.3,0,50,1019.2,2.2,0,0,0
2019-01-01T23:00,2.8,0,53,1019.1,2.6,0,0,0
2019-01-02T00:00,2.2,0,52,1019.3,2,0,0,0
2019-01-02T01:00,1.8,0,54,1019.5,2.9,0,0,0
2019-01-02T02:00,1.4,0,59,1019.6,3.6,0,0,0
2019-01-02T03:00,0.9,0,66,1019.5,6.4,0,0,0
2019-01-02T04:00,0.5,0,67,1019,5.2,0,0,0
2019-01-02T05:00,0.4,0,64,1018.5,0.5,0,0,0
2019-01-02T06:00,-0.1,0,73,1018.5,4.7,0,0,0
2019-01-02T07:00,-0.3,0,77,1018.9,5.5,0,0,0
2019-01-02T08:00,0.2,0,81,1019.7,3.5,27,19,95.9
2019-01-02T09:00,3.6,0,82,1020.3,3.4,164,49,655.9
2019-01-02T10:00,7.4,0,65,1020.7,3.4,324,58,838.7
2019-01-02T11:00,9.5,0,54,1020.4,2.4,445,68,894.9
2019-01-02T12:00,10.8,0,45,1019.6,1.6,512,75,909.2
2019-01-02T13:00,11.3,0,40,1018.7,4.5,522,77,906
2019-01-02T14:00,12.2,0,35,1018.2,5.4,471,77,871.4
2019-01-02T15:00,13,0,34,1018.1,5.1,360,71,789.1
2019-01-02T16:00,13,0,34,1018.2,6.6,202,63,580.9
2019-01-02T17:00,10.6,0,39,1018.5,7.3,0,0,0
2019-01-02T18:00,8.5,0,50,1019.1,6.6,0,0,0
2019-01-02T19:00,7.4,0,50,1019.1,7.6,0,0,0
2019-01-02T20:00,6.5,0,54,1019.4,8.9,0,0,0
2019-01-02T21:00,5.4,0,56,1019.7,7.6,0,0,0
2019-01-02T22:00,4.7,0,58,1020,7.6,0,0,0
2019-01-02T23:00,3.8,0,61,1020.2,6.9,0,0,0
2019-01-03T00:00,3.2,0,66,1020.1,4.3,0,0,0
2019-01-03T01:00,2.4,0,69,1019.8,2.4,0,0,0
