latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.427963,-122.154785,35.0,-32400,America/Anchorage,GMT-9

time,temperature_2m (°C),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),relative_humidity_2m (%),precipitation (mm)
2019-01-01T00:00,3.4,0,12.6,0.0,0.0,0.0,52,0.00
2019-01-01T01:00,3.3,0,15.1,0.0,0.0,0.0,50,0.00
2019-01-01T02:00,2.4,0,11.9,0.0,0.0,0.0,53,0.00
2019-01-01T03:00,2.4,0,11.7,0.0,0.0,0.0,51,0.00
2019-01-01T04:00,1.9,0,9.8,0.0,0.0,0.0,52,0.00
2019-01-01T05:00,1.3,0,7.0,0.0,0.0,0.0,52,0.00
2019-01-01T06:00,1.2,0,1.6,0.0,0.0,0.0,44,0.00
2019-01-01T07:00,1.7,0,2.7,32.0,12.0,239.4,44,0.00
2019-01-01T08:00,5.6,8,3.6,174.0,37.0,781.2,45,0.00
2019-01-01T09:00,9.6,13,0.8,337.0,54.0,893.1,36,0.00
2019-01-01T10:00,9.5,8,3.7,461.0,63.0,946.2,30,0.00
2019-01-01T11:00,11.0,81,10.2,530.0,71.0,957.1,28,0.00
2019-01-01T12:00,10.6,1,8.4,536.0,92.0,906.7,26,0.00
2019-01-01T13:00,10.9,0,6.2,453.0,187.0,590.7,26,0.00
2019-01-01T14:00,11.5,0,6.2,355.0,113.0,664.6,25,0.00
2019-01-01T15:00,11.7,0,3.4,209.0,60.0,628.7,23,0.00
2019-01-01T16:00,9.5,0,1.9,0.0,0.0,0.0,27,0.00
2019-01-01T17:00,7.3,0,5.4,0.0,0.0,0.0,43,0.00
2019-01-01T18:00,6.5,0,8.7,0.0,0.0,0.0,46,0.00
2019-01-01T19:00,5.4,0,7.7,0.0,0.0,0.0,46,0.00
2019-01-01T20:00,4.2,0,5.1,0.0,0.0,0.0,46,0.00
2019-01-01T21:00,3.2,0,2.2,0.0,0.0,0.0,50,0.00
2019-01-01T22:00,2.8,0,2.6,0.0,0.0,0.0,53,0.00
2019-01-01T23:00,2.2,0,2.0,0.0,0.0,0.0,52,0.00
2019-01-02T00:00,1.7,0,2.9,0.0,0.0,0.0,54,0.00
2019-01-02T01:00,1.4,0,3.6,0.0,0.0,0.0,59,0.00
2019-01-02T02:00,0.8,0,6.4,0.0,0.0,0.0,66,0.00
2019-01-02T03:00,0.4,0,5.2,0.0,0.0,0.0,67,0.00
