latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.427963,-122.154785,17.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m (°C),precipitation (mm),wind_speed_10m (km/h),weather_code (wmo code),cloud_cover (%),shortwave_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),relative_humidity_2m (%)
2018-01-01T00:00,9.3,0.00,1.6,1,21,0.0,0.0,0.0,84
2018-01-01T01:00,8.9,0.00,1.1,0,18,0.0,0.0,0.0,84
2018-01-01T02:00,8.9,0.00,3.0,1,24,0.0,0.0,0.0,82
2018-01-01T03:00,8.5,0.00,4.0,1,25,0.0,0.0,0.0,82
2018-01-01T04:00,7.1,0.00,1.8,0,18,0.0,0.0,0.0,86
2018-01-01T05:00,4.4,0.00,5.6,0,18,0.0,0.0,0.0,87
2018-01-01T06:00,6.6,0.00,2.9,0,16,0.0,0.0,0.0,84
2018-01-01T07:00,7.0,0.00,2.6,0,4,0.0,0.0,0.0,80
2018-01-01T08:00,6.6,0.00,3.3,0,12,25.0,17.0,95.9,83
2018-01-01T09:00,7.6,0.00,3.9,0,14,149.0,50.0,565.3,94
2018-01-01T10:00,10.1,0.00,3.0,0,3,297.0,75.0,700.8,91
2018-01-01T11:00,10.9,0.00,1.9,0,8,409.0,95.0,746.4,88
2018-01-01T12:00,12.2,0.00,2.6,0,2,473.0,101.0,775.2,82
2018-01-01T13:00,13.7,0.00,3.0,0,11,483.0,103.0,775.2,74
2018-01-01T14:00,15.1,0.00,3.6,0,9,431.0,102.0,729.5,69
2018-01-01T15:00,15.4,0.00,4.6,0,4,324.0,95.0,627.4,67
2018-01-01T16:00,15.6,0.00,3.6,0,18,173.0,77.0,403.4,66
2018-01-01T17:00,14.5,0.00,3.4,1,26,0.0,0.0,0.0,74
2018-01-01T18:00,11.4,0.00,5.4,1,26,0.0,0.0,0.0,74
2018-01-01T19:00,10.2,0.00,7.2,0,12,0.0,0.0,0.0,76
2018-01-01T20:00,9.4,0.00,8.3,0,9,0.0,0.0,0.0,76
2018-01-01T21:00,11.2,0.00,3.3,0,19,0.0,0.0,0.0,75
