Regime,Model,Absolute Error (kW)
Clear Sky,CNN,0.1351905517333334
Clear Sky,CNN,0.4042376893333333
Clear Sky,CNN,0.7463514325999999
Clear Sky,CNN,0.7691674085999998
Clear Sky,CNN,0.3220967450000001
Clear Sky,CNN,0.07857693313333369
Clear Sky,CNN,0.2414101245333331
Clear Sky,CNN,0.8655315951333344
Clear Sky,CNN,1.4396280951333331
Clear Sky,CNN,1.640857453999999
Clear Sky,CNN,1.6556401526666686
Clear Sky,CNN,1.6209538153333334
Clear Sky,CNN,1.7064761346666675
Clear Sky,CNN,1.4487801339999997
Clear Sky,CNN,1.2594584679999983
Clear Sky,CNN,0.9844809473333349
Clear Sky,CNN,1.0016610446666654
Clear Sky,CNN,0.4479935053333328
Clear Sky,CNN,0.3882150046666659
Clear Sky,CNN,0.27678143266666666
Clear Sky,CNN,0.3820272613333344
Clear Sky,CNN,0.41328408066667066
Clear Sky,CNN,0.2566438180000006
Clear Sky,CNN,0.655391408666663
Clear Sky,CNN,1.2108186126666673
Clear Sky,CNN,1.4120045973333326
Clear Sky,CNN,1.33087458533333
Clear Sky,CNN,1.4630264846666634
Clear Sky,CNN,1.896474270666669
Clear Sky,CNN,2.148130980666668
Clear Sky,CNN,1.9162700259999994
Clear Sky,CNN,1.642004099333338
Clear Sky,CNN,1.543693433999998
Clear Sky,CNN,1.543404964000004
Clear Sky,CNN,1.507062062666666
Clear Sky,CNN,1.334739680000002
Clear Sky,CNN,1.375137818666662
Clear Sky,CNN,1.3983626540000031
Clear Sky,CNN,1.1430064866666676
Clear Sky,CNN,0.7099691526666625
Clear Sky,CNN,0.9322710226666686
Clear Sky,CNN,0.9515675433333328
Clear Sky,CNN,1.1560958120000002
Clear Sky,CNN,1.190907702666669
Clear Sky,CNN,0.9284013240000011
Clear Sky,CNN,0.8706567320000005
Clear Sky,CNN,0.6481225640666679
Clear Sky,CNN,0.16025010313333254
Clear Sky,CNN,0.2040982136666667
Clear Sky,CNN,0.08397331146666698
Clear Sky,CNN,0.6240058149999999
Clear Sky,CNN,1.0381503950000002
Clear Sky,CNN,1.4951131040666668
Clear Sky,CNN,1.5696876578
Clear Sky,CNN,0.5558937990666668
Clear Sky,CNN,0.7374976517333334
Clear Sky,CNN,1.0961420122
Clear Sky,CNN,0.9563587886000002
Clear Sky,CNN,0.4279824245999997
Clear Sky,CNN,0.06521123259999984
Clear Sky,CNN,0.4676226811333333
Clear Sky,CNN,1.0109313788000005
Clear Sky,CNN,1.4901457948
Clear Sky,CNN,2.019667080333331
Clear Sky,CNN,2.1420751433333365
Clear Sky,CNN,2.311653242666665
Clear Sky,CNN,2.539753175333331
Clear Sky,CNN,2.4997519800000028
Clear Sky,CNN,2.525344847999998
Clear Sky,CNN,2.363257769333334
Clear Sky,CNN,2.678012046666666
Clear Sky,CNN,2.36674601
Clear Sky,CNN,2.299086622666664
Clear Sky,CNN,2.1030883859999996
Clear Sky,CNN,2.04184184333333
Clear Sky,CNN,1.9658469280000013
Clear Sky,CNN,1.329478210666661
Clear Sky,CNN,2.1431285326666654
Clear Sky,CNN,1.9803261306666684
Clear Sky,CNN,1.838622821333331
Clear Sky,CNN,1.4124596033333319
Clear Sky,CNN,2.1707874013333317
Clear Sky,CNN,3.002222502666669
Clear Sky,CNN,3.3186979546666713
Clear Sky,CNN,0.19204981466666382
Clear Sky,CNN,1.5386606480000005
Clear Sky,CNN,2.3759748540000025
Clear Sky,CNN,2.0981451486666636
Clear Sky,CNN,1.953227545333327
Clear Sky,CNN,1.8562260446666627
Clear Sky,CNN,1.814116000000002
Clear Sky,CNN,1.5343968713333318
Clear Sky,CNN,1.2913443813333316
Clear Sky,CNN,0.8798224853333316
Clear Sky,CNN,0.7831613293333319
Clear Sky,CNN,0.9361919720000031
Clear Sky,CNN,0.9574123373333343
Clear Sky,CNN,1.021587689333332
Clear Sky,CNN,0.9320051280000019
Clear Sky,CNN,0.8257479893333315
Clear Sky,CNN,0.5033859346000007
Clear Sky,CNN,0.21133979553333226
Clear Sky,CNN,0.20267740253333422
Clear Sky,CNN,0.6432750498666673
Clear Sky,CNN,1.3300652799333332
Clear Sky,CNN,1.7261974223333332
Clear Sky,CNN,2.1374884055333334
Clear Sky,CNN,0.29206224659999996
Clear Sky,CNN,0.4614018880666668
Clear Sky,CNN,0.6449063901333332
Clear Sky,CNN,0.9112196358000002
Clear Sky,CNN,0.8519605009333335
Clear Sky,CNN,0.33625861333333296
Clear Sky,CNN,0.2973704079999999
Clear Sky,CNN,0.6535022577333329
Clear Sky,CNN,0.9011946234000012
Clear Sky,CNN,2.2836113497333326
Clear Sky,CNN,2.3692260707333332
Clear Sky,CNN,1.7302774852666687
Clear Sky,CNN,3.0233520266666662
Clear Sky,CNN,2.698855783333334
Clear Sky,CNN,2.5208000633333327
Clear Sky,CNN,2.2176070966666686
Clear Sky,CNN,2.1908671426666615
Clear Sky,CNN,1.9854998333333356
Clear Sky,CNN,1.8390939106666622
Clear Sky,CNN,1.4026293540000019
Clear Sky,CNN,1.5587808066666717
Clear Sky,CNN,1.579683008
Clear Sky,CNN,1.5041409913333332
Clear Sky,CNN,1.8254670166666642
Clear Sky,CNN,1.6968873126666644
Clear Sky,CNN,1.6935543873333359
Clear Sky,CNN,1.5643774613333363
Clear Sky,CNN,1.4811767279999977
Clear Sky,CNN,1.7426809566666677
Clear Sky,CNN,1.8145686953333318
Clear Sky,CNN,1.933625327999998
Clear Sky,CNN,1.6788483700000008
Clear Sky,CNN,1.8505379746666648
Clear Sky,CNN,1.851844513333333
Clear Sky,CNN,1.7612832019999978
Clear Sky,CNN,1.8407464793333297
Clear Sky,CNN,2.092479683999997
Clear Sky,CNN,2.200787227333336
Clear Sky,CNN,2.4599848586666653
Clear Sky,CNN,2.249734882000002
Clear Sky,CNN,2.365755572000001
Clear Sky,CNN,2.1829557820000005
Clear Sky,CNN,2.251861424666668
Clear Sky,CNN,1.9584878273333342
Clear Sky,CNN,1.6777649253333333
Clear Sky,CNN,1.4809484233333308
Clear Sky,CNN,1.0195599188000006
Clear Sky,CNN,0.4720620752666669
Clear Sky,CNN,0.02369297686666716
Clear Sky,CNN,0.35171723686666656
Clear Sky,CNN,0.8009658676
Clear Sky,CNN,1.0509628865333334
Clear Sky,CNN,1.3124831817333336
Clear Sky,CNN,1.2278039990666667
Clear Sky,CNN,0.829327435
Clear Sky,CNN,1.0057527723333333
Clear Sky,CNN,1.2438730934
Clear Sky,CNN,1.055453838666667
Clear Sky,CNN,0.44305775173333295
Clear Sky,CNN,0.09307998920000005
Clear Sky,CNN,0.5270011100000005
Clear Sky,CNN,1.1326868194
Clear Sky,CNN,1.8210759444000004
Clear Sky,CNN,2.2311773040666685
Clear Sky,CNN,2.423901380666665
Clear Sky,CNN,2.5341992639999997
Clear Sky,CNN,2.633905453999999
Clear Sky,CNN,2.5378072913333334
Clear Sky,CNN,2.5133637859999993
Clear Sky,CNN,2.2057340053333334
Clear Sky,CNN,2.2324834126666673
Clear Sky,CNN,1.91410445
Clear Sky,CNN,1.792925782000001
Clear Sky,CNN,1.5752179066666656
Clear Sky,CNN,1.556879595333335
Clear Sky,CNN,1.4513757599999977
Clear Sky,CNN,0.7604901706666638
Clear Sky,CNN,1.0341034339999986
