Regime,Model,Absolute Ramp Rate (kW)
Clear Sky,CNN,0.4245471
Clear Sky,CNN,0.5538288
Clear Sky,CNN,0.6727869999999998
Clear Sky,CNN,0.6347758000000003
Clear Sky,CNN,1.0836976999999997
Clear Sky,CNN,1.1205699999999998
Clear Sky,CNN,1.1896958
Clear Sky,CNN,1.0990587000000005
Clear Sky,CNN,1.349304
Clear Sky,CNN,1.4428319999999992
Clear Sky,CNN,1.4429290000000012
Clear Sky,CNN,1.3425250000000002
Clear Sky,CNN,1.4941009999999988
Clear Sky,CNN,1.3515550000000012
Clear Sky,CNN,1.3183469999999993
Clear Sky,CNN,1.0029949999999985
Clear Sky,CNN,1.2953590000000013
Clear Sky,CNN,0.9024229999999989
Clear Sky,CNN,0.7903730000000024
Clear Sky,CNN,0.5895349999999979
Clear Sky,CNN,0.5544639999999994
Clear Sky,CNN,0.5226940000000013
Clear Sky,CNN,0.22180600000000084
Clear Sky,CNN,0.15504599999999868
Clear Sky,CNN,0.09786199999999923
Clear Sky,CNN,0.057896000000003056
Clear Sky,CNN,0.09795899999999946
Clear Sky,CNN,0.2808300000000017
Clear Sky,CNN,0.08475100000000069
Clear Sky,CNN,0.026743999999997214
Clear Sky,CNN,0.09537000000000262
Clear Sky,CNN,0.18597999999999715
Clear Sky,CNN,0.28981600000000185
Clear Sky,CNN,0.4381750000000011
Clear Sky,CNN,0.44018900000000016
Clear Sky,CNN,0.7747849999999978
Clear Sky,CNN,0.7459160000000011
Clear Sky,CNN,0.7465229999999998
Clear Sky,CNN,0.6257289999999998
Clear Sky,CNN,1.1797749999999994
Clear Sky,CNN,1.1914100000000012
Clear Sky,CNN,1.4750490000000003
Clear Sky,CNN,1.4156864999999996
Clear Sky,CNN,1.313926499999999
Clear Sky,CNN,1.404326000000001
Clear Sky,CNN,1.443795999999999
Clear Sky,CNN,1.4547870000000005
Clear Sky,CNN,1.1350090000000002
Clear Sky,CNN,1.2583729999999997
Clear Sky,CNN,0.9120504
Clear Sky,CNN,1.0727362999999999
Clear Sky,CNN,0.7048740000000002
Clear Sky,CNN,0.6530704999999999
Clear Sky,CNN,0.33103364
Clear Sky,CNN,0.5835703999999999
Clear Sky,CNN,0.5672642000000001
Clear Sky,CNN,0.5675719999999997
Clear Sky,CNN,0.9912432
Clear Sky,CNN,1.0446578000000004
Clear Sky,CNN,1.2239550000000001
Clear Sky,CNN,1.0339469999999995
Clear Sky,CNN,1.2296440000000004
Clear Sky,CNN,1.409986
Clear Sky,CNN,1.3682230000000004
Clear Sky,CNN,1.3542439999999996
Clear Sky,CNN,1.4550859999999997
Clear Sky,CNN,1.2686019999999996
Clear Sky,CNN,1.3483
Clear Sky,CNN,0.904363
Clear Sky,CNN,1.2630160000000004
Clear Sky,CNN,0.9272559999999999
Clear Sky,CNN,0.9452810000000014
Clear Sky,CNN,0.6934199999999997
Clear Sky,CNN,0.5173369999999977
Clear Sky,CNN,0.6454010000000032
Clear Sky,CNN,0.29253399999999985
Clear Sky,CNN,0.3671359999999986
Clear Sky,CNN,0.14238200000000134
Clear Sky,CNN,0.1469169999999984
Clear Sky,CNN,0.05293299999999945
Clear Sky,CNN,0.2741019999999992
Clear Sky,CNN,0.0816820000000007
Clear Sky,CNN,0.06738599999999906
Clear Sky,CNN,0.06240000000000023
Clear Sky,CNN,0.20859000000000094
Clear Sky,CNN,0.28474100000000035
Clear Sky,CNN,0.3515549999999976
Clear Sky,CNN,0.45293099999999953
Clear Sky,CNN,0.6221270000000025
Clear Sky,CNN,0.690607
Clear Sky,CNN,0.7273259999999979
Clear Sky,CNN,0.6965670000000017
Clear Sky,CNN,1.085211000000001
Clear Sky,CNN,1.288328
Clear Sky,CNN,1.392326999999998
Clear Sky,CNN,1.514266000000001
Clear Sky,CNN,1.439805999999999
Clear Sky,CNN,1.4504710000000003
Clear Sky,CNN,1.3750595000000008
Clear Sky,CNN,1.431001499999999
Clear Sky,CNN,1.3424694000000006
Clear Sky,CNN,1.2655019999999997
Clear Sky,CNN,0.9007883000000003
Clear Sky,CNN,0.9938384999999998
Clear Sky,CNN,0.6755418
Clear Sky,CNN,0.24419947000000003
Clear Sky,CNN,0.48318020000000006
Clear Sky,CNN,0.46960139999999995
Clear Sky,CNN,0.5628989999999998
Clear Sky,CNN,0.8633230000000003
Clear Sky,CNN,1.0505123999999997
Clear Sky,CNN,1.1893975
Clear Sky,CNN,1.0356625
Clear Sky,CNN,1.2002430000000004
Clear Sky,CNN,1.3335080000000001
Clear Sky,CNN,1.4590259999999997
Clear Sky,CNN,1.2468369999999993
Clear Sky,CNN,1.5581060000000004
Clear Sky,CNN,1.2641539999999996
Clear Sky,CNN,1.311629
Clear Sky,CNN,1.0091880000000018
Clear Sky,CNN,1.3760149999999989
Clear Sky,CNN,0.9121880000000004
Clear Sky,CNN,1.0121840000000013
Clear Sky,CNN,0.46335599999999744
Clear Sky,CNN,0.5277610000000017
Clear Sky,CNN,0.6922479999999993
Clear Sky,CNN,0.2763540000000013
Clear Sky,CNN,0.3509139999999995
Clear Sky,CNN,0.11272400000000005
Clear Sky,CNN,0.08601799999999926
Clear Sky,CNN,0.213121000000001
Clear Sky,CNN,0.34239000000000175
Clear Sky,CNN,0.1408459999999998
Clear Sky,CNN,0.004249999999998977
Clear Sky,CNN,0.11750800000000083
Clear Sky,CNN,0.2261179999999996
Clear Sky,CNN,0.3958510000000004
Clear Sky,CNN,0.5114689999999982
Clear Sky,CNN,0.5653440000000032
Clear Sky,CNN,0.9069799999999972
Clear Sky,CNN,0.790140000000001
Clear Sky,CNN,0.7885479999999987
Clear Sky,CNN,0.6230950000000028
Clear Sky,CNN,1.1768619999999999
Clear Sky,CNN,1.149315999999999
Clear Sky,CNN,1.4085409999999996
Clear Sky,CNN,1.2506660000000007
Clear Sky,CNN,1.2345740000000003
